page_id,page_title,users_reverted_2021
21566765,South Asia,112
27698,Sanskrit,105
23277715,Bhagavad Gita,104
12448,Ganges,103
405564,Kumbh Mela,103
16966,Koh-i-Noor,91
10710364,Religion in India,89
300548,Tamils,84
478684,Vijayanagara Empire,75
826786,All India Majlis-e-Ittehadul Muslimeen,74
27964,Sikhism,73
489575,Holi,69
4198908,Bengalis,66
44245,Ramayana,64
100241,Kalki,64
63897432,Ram Mandir,63
31678975,Mahadevi,62
16016,Jainism,62
31366965,Gyanvapi Mosque,59
1923487,Parmar,57
2973915,Devanga,57
15490,Indus River,57
3932010,Hinduism in India,57
523107,Singh,57
46811684,Islam in Assam,55
583048,Punjabis,53
21476772,Vedic period,53
94782,Indra,52
100254,Arjuna,52
20646911,Brahma,50
952466,Raksha Bandhan,50
19376355,Ganesha,50
20413485,2008 Mumbai attacks,50
337662,Sati (practice),50
311735,Operation Blue Star,49
1060317,Pallava dynasty,49
6119559,Seuna (Yadava) dynasty,49
41184474,Lingam,49
3099417,Rashtrakuta dynasty,49
19334415,Kali,48
236674,Ayurveda,47
319196,Tripura,47
2127300,Hinduism in Pakistan,47
40143574,Mahabharat (2013 TV series),47
18013634,"Brihadisvara Temple, Thanjavur",45
44958163,Cow urine,45
31291719,Abhira tribe,44
244747,Brahmin,43
2642,Ajanta Caves,43
100588,Bhima,42
409027,Pongal (festival),42
1999632,Tripura Sundari,42
100169,Parvati,42
7353278,Mahabharat (1988 TV series),41
100191,Lakshmi,41
4643575,Misl,40
65171,Deobandi,40
72742,Kumbakonam,39
10234471,Allahabad,39
381878,Draupadi,39
